<Logging continued from "data/ulx_logs/05-30-22.txt">
[05:05:05] Server is shutting down/changing levels.



[05:06:53] New map: gm_construct
[07:25:17] Client "Miku" connected.
[07:26:15] Client "Miku" spawned in server <STEAM_0:0:448732644> (took 58 seconds).
[07:26:34] (TEAM) ♫-Miku-♫: !menu
[07:26:44] ♫-Miku-♫ запустил (попытался) голосование на смену карты
[07:29:19] Server is shutting down/changing levels.



[07:30:05] New map: gm_mobenix_v3_final
[07:31:05] Client "Miku" spawned in server <STEAM_0:0:448732644> (took 77 seconds).
[07:31:48] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/sprops/misc/pyramids/rsize_4/rpyr_48x36.mdl
[07:31:50] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/sprops/misc/pyramids/rsize_4/rpyr_48x60.mdl
[07:31:51] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/sprops/misc/pyramids/rsize_4/rpyr_48x48.mdl
[07:31:57] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/sprops/misc/pyramids/rsize_4/rpyr_48x48.mdl
[07:32:00] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/sprops/misc/pyramids/rsize_4/rpyr_48x48.mdl
[07:32:07] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/sprops/misc/pyramids/rsize_4/rpyr_48x48.mdl
[07:32:10] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/sprops/misc/pyramids/rsize_4/rpyr_48x48.mdl
[07:32:16] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:32:28] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:32:47] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:34:08] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_junk/trashdumpster02b.mdl
[07:34:18] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:34:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:34:51] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:34:55] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:35:10] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:35:22] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:35:26] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:35:33] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:35:39] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_c17/lockers001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
[07:36:41] ♫-Miku-♫<STEAM_0:0:448732644> spawned model models/props_wasteland/kitchen_fridge001a.mdl
